numero;nom;plan_eau;municipalite;mrc;categorie;lat;lon;url_fiche
X2176095;nan;Pill, Lac / Pill, Crique;Les Lacs-du-Témiscamingue;Témiscamingue;Faible contenance;46.310833;-78.478333;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176102;nan;Kataway, Lac / Torniche, Ruisseau;Lac-Oscar;Antoine-Labelle;Faible contenance;47.305556;-75.233339;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176104;nan;;Mont-Blanc;Les Laurentides;Forte contenance;46.112317;-74.466911;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176108;nan;Ray, Lac;Gore;Argenteuil;Forte contenance (parent);45.760306;-74.216083;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176110;Bourlin, Barrage;Trib.48D.55M.40S.-70D.27M.11S.;Mont-Valin;Le Fjord-du-Saguenay;Faible contenance;48.934417;-70.437139;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176112;nan;;Wemindji;Eeyou Istchee;Forte contenance;53.00425;-78.794028;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176113;nan;;Wemindji;Eeyou Istchee;Forte contenance;53.003167;-78.794278;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176114;nan;Président, Lac du / Trib.47D.19M.53S.-69D.50M.32S.;Mont-Carmel;Kamouraska;Petit barrage;47.306433;-69.800006;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2176119;Tracy, Barrage;Tracy, Lac / Lavigne, Rivière;Saint-Guillaume-Nord;Matawinie;Forte contenance;46.408472;-73.849139;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179697;nan;Trib.47D.31M.18S.-70D.33M.53S.;Saint-Urbain;Charlevoix;Faible contenance;47.543261;-70.580342;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179698;nan;Edelweiss, Lac / Wilson, Ruisseau;La Pêche;Les Collines-de-l'Outaouais;Forte contenance;45.646722;-75.84675;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179701;nan;Trib.47D.31M.18S.-70D.33M.53S.;Saint-Urbain;Charlevoix;Faible contenance;47.542456;-70.57765;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179709;nan;;Venise-en-Québec;Le Haut-Richelieu;Petit barrage;45.075423;-73.163114;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179710;nan;;Venise-en-Québec;Le Haut-Richelieu;Petit barrage;45.078175;-73.165102;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179712;nan;Gosselin, Rivière;Victoriaville;Arthabaska;Faible contenance;46.046889;-71.906667;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179716;nan;Rats, Rivière Aux;Saguenay;Ville de Saguenay;Petit barrage;48.378333;-71.084722;https://www.cehq.gouv.qc.ca/barrages/default.asp
X2179722;nan;Wilson, Ruisseau;La Pêche;Les Collines-de-l'Outaouais;Petit barrage;45.649417;-75.853722;https://www.cehq.gouv.qc.ca/barrages/default.asp
